group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fang_oost vs carr_madan,carr madan,128,,,1027903.0,ns,20
fang_oost vs carr_madan,carr madan,128,,,1869804.0,ns,40
fang_oost vs carr_madan,carr madan,128,,,2940607.0,ns,60
fang_oost vs carr_madan,carr madan,128,,,3963909.0,ns,80
fang_oost vs carr_madan,carr madan,128,,,4962611.0,ns,100
fang_oost vs carr_madan,carr madan,128,,,5966514.0,ns,120
fang_oost vs carr_madan,carr madan,128,,,6995215.0,ns,140
fang_oost vs carr_madan,carr madan,128,,,7935018.0,ns,160
fang_oost vs carr_madan,carr madan,128,,,8940421.0,ns,180
fang_oost vs carr_madan,carr madan,128,,,9916722.0,ns,200
fang_oost vs carr_madan,carr madan,128,,,11142526.0,ns,220
fang_oost vs carr_madan,carr madan,128,,,11989327.0,ns,240
fang_oost vs carr_madan,carr madan,128,,,12679329.0,ns,260
fang_oost vs carr_madan,carr madan,128,,,14166132.0,ns,280
fang_oost vs carr_madan,carr madan,128,,,15153334.0,ns,300
fang_oost vs carr_madan,carr madan,128,,,16107537.0,ns,320
fang_oost vs carr_madan,carr madan,128,,,16945438.0,ns,340
fang_oost vs carr_madan,carr madan,128,,,17947841.0,ns,360
fang_oost vs carr_madan,carr madan,128,,,18889343.0,ns,380
fang_oost vs carr_madan,carr madan,128,,,20086746.0,ns,400
fang_oost vs carr_madan,carr madan,128,,,21152948.0,ns,420
fang_oost vs carr_madan,carr madan,128,,,21970150.0,ns,440
fang_oost vs carr_madan,carr madan,128,,,23678653.0,ns,460
fang_oost vs carr_madan,carr madan,128,,,23864155.0,ns,480
fang_oost vs carr_madan,carr madan,128,,,25016156.0,ns,500
fang_oost vs carr_madan,carr madan,128,,,26082659.0,ns,520
fang_oost vs carr_madan,carr madan,128,,,27141862.0,ns,540
fang_oost vs carr_madan,carr madan,128,,,28240164.0,ns,560
fang_oost vs carr_madan,carr madan,128,,,29370367.0,ns,580
fang_oost vs carr_madan,carr madan,128,,,29928168.0,ns,600
fang_oost vs carr_madan,carr madan,128,,,31030170.0,ns,620
fang_oost vs carr_madan,carr madan,128,,,32493674.0,ns,640
fang_oost vs carr_madan,carr madan,128,,,33118475.0,ns,660
fang_oost vs carr_madan,carr madan,128,,,34095777.0,ns,680
fang_oost vs carr_madan,carr madan,128,,,34914680.0,ns,700
fang_oost vs carr_madan,carr madan,128,,,36165982.0,ns,720
fang_oost vs carr_madan,carr madan,128,,,37029384.0,ns,740
fang_oost vs carr_madan,carr madan,128,,,38239386.0,ns,760
fang_oost vs carr_madan,carr madan,128,,,39002989.0,ns,780
fang_oost vs carr_madan,carr madan,128,,,39990191.0,ns,800
fang_oost vs carr_madan,carr madan,128,,,41379294.0,ns,820
fang_oost vs carr_madan,carr madan,128,,,41908395.0,ns,840
fang_oost vs carr_madan,carr madan,128,,,42257096.0,ns,860
fang_oost vs carr_madan,carr madan,128,,,44245500.0,ns,880
fang_oost vs carr_madan,carr madan,128,,,45167102.0,ns,900
fang_oost vs carr_madan,carr madan,128,,,45811404.0,ns,920
fang_oost vs carr_madan,carr madan,128,,,46889107.0,ns,940
fang_oost vs carr_madan,carr madan,128,,,47706508.0,ns,960
fang_oost vs carr_madan,carr madan,128,,,48875111.0,ns,980
fang_oost vs carr_madan,carr madan,128,,,50511415.0,ns,1000
fang_oost vs carr_madan,carr madan,128,,,51051515.0,ns,1020
fang_oost vs carr_madan,carr madan,128,,,51633917.0,ns,1040
fang_oost vs carr_madan,carr madan,128,,,53439222.0,ns,1060
fang_oost vs carr_madan,carr madan,128,,,54058022.0,ns,1080
fang_oost vs carr_madan,carr madan,128,,,55173125.0,ns,1100
fang_oost vs carr_madan,carr madan,128,,,55781127.0,ns,1120
fang_oost vs carr_madan,carr madan,128,,,57276229.0,ns,1140
fang_oost vs carr_madan,carr madan,128,,,57665231.0,ns,1160
fang_oost vs carr_madan,carr madan,128,,,59094334.0,ns,1180
fang_oost vs carr_madan,carr madan,128,,,60015736.0,ns,1200
fang_oost vs carr_madan,carr madan,128,,,61508740.0,ns,1220
fang_oost vs carr_madan,carr madan,128,,,62091940.0,ns,1240
fang_oost vs carr_madan,carr madan,128,,,62152741.0,ns,1260
fang_oost vs carr_madan,carr madan,128,,,62997343.0,ns,1280
fang_oost vs carr_madan,carr madan,128,,,64402546.0,ns,1300
fang_oost vs carr_madan,carr madan,128,,,65784849.0,ns,1320
fang_oost vs carr_madan,carr madan,128,,,67689553.0,ns,1340
fang_oost vs carr_madan,carr madan,128,,,68076955.0,ns,1360
fang_oost vs carr_madan,carr madan,128,,,69058956.0,ns,1380
fang_oost vs carr_madan,carr madan,128,,,69967858.0,ns,1400
fang_oost vs carr_madan,carr madan,128,,,70876661.0,ns,1420
fang_oost vs carr_madan,carr madan,128,,,72109363.0,ns,1440
fang_oost vs carr_madan,carr madan,128,,,72581965.0,ns,1460
fang_oost vs carr_madan,carr madan,128,,,74381768.0,ns,1480
fang_oost vs carr_madan,carr madan,128,,,75298770.0,ns,1500
fang_oost vs carr_madan,carr madan,128,,,76867474.0,ns,1520
fang_oost vs carr_madan,carr madan,128,,,76248372.0,ns,1540
fang_oost vs carr_madan,carr madan,128,,,77670476.0,ns,1560
fang_oost vs carr_madan,carr madan,128,,,78883879.0,ns,1580
fang_oost vs carr_madan,carr madan,128,,,79546780.0,ns,1600
fang_oost vs carr_madan,carr madan,128,,,80770783.0,ns,1620
fang_oost vs carr_madan,carr madan,128,,,82103785.0,ns,1640
fang_oost vs carr_madan,carr madan,128,,,82791688.0,ns,1660
fang_oost vs carr_madan,carr madan,128,,,83893389.0,ns,1680
fang_oost vs carr_madan,carr madan,128,,,84981593.0,ns,1700
fang_oost vs carr_madan,carr madan,128,,,86065894.0,ns,1720
fang_oost vs carr_madan,carr madan,128,,,86993397.0,ns,1740
fang_oost vs carr_madan,carr madan,128,,,87917099.0,ns,1760
fang_oost vs carr_madan,carr madan,128,,,88311700.0,ns,1780
fang_oost vs carr_madan,carr madan,128,,,89165101.0,ns,1800
fang_oost vs carr_madan,carr madan,128,,,94184713.0,ns,1820
fang_oost vs carr_madan,carr madan,128,,,92509009.0,ns,1840
