group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fang_oost vs carr_madan,carr madan,256,,,1103602.0,ns,16
fang_oost vs carr_madan,carr madan,256,,,2005605.0,ns,32
fang_oost vs carr_madan,carr madan,256,,,3071706.0,ns,48
fang_oost vs carr_madan,carr madan,256,,,4162510.0,ns,64
fang_oost vs carr_madan,carr madan,256,,,5070911.0,ns,80
fang_oost vs carr_madan,carr madan,256,,,6125414.0,ns,96
fang_oost vs carr_madan,carr madan,256,,,7258816.0,ns,112
fang_oost vs carr_madan,carr madan,256,,,8194418.0,ns,128
fang_oost vs carr_madan,carr madan,256,,,9022821.0,ns,144
fang_oost vs carr_madan,carr madan,256,,,10062622.0,ns,160
fang_oost vs carr_madan,carr madan,256,,,11336025.0,ns,176
fang_oost vs carr_madan,carr madan,256,,,12177528.0,ns,192
fang_oost vs carr_madan,carr madan,256,,,13004929.0,ns,208
fang_oost vs carr_madan,carr madan,256,,,14243632.0,ns,224
fang_oost vs carr_madan,carr madan,256,,,15183634.0,ns,240
fang_oost vs carr_madan,carr madan,256,,,16296436.0,ns,256
fang_oost vs carr_madan,carr madan,256,,,17233139.0,ns,272
fang_oost vs carr_madan,carr madan,256,,,18212240.0,ns,288
fang_oost vs carr_madan,carr madan,256,,,19114543.0,ns,304
fang_oost vs carr_madan,carr madan,256,,,20279646.0,ns,320
fang_oost vs carr_madan,carr madan,256,,,21827048.0,ns,336
fang_oost vs carr_madan,carr madan,256,,,22530651.0,ns,352
fang_oost vs carr_madan,carr madan,256,,,26518359.0,ns,368
fang_oost vs carr_madan,carr madan,256,,,29302366.0,ns,384
fang_oost vs carr_madan,carr madan,256,,,25585157.0,ns,400
fang_oost vs carr_madan,carr madan,256,,,27192061.0,ns,416
fang_oost vs carr_madan,carr madan,256,,,29590466.0,ns,432
fang_oost vs carr_madan,carr madan,256,,,29938967.0,ns,448
fang_oost vs carr_madan,carr madan,256,,,33881776.0,ns,464
fang_oost vs carr_madan,carr madan,256,,,33108074.0,ns,480
fang_oost vs carr_madan,carr madan,256,,,33810275.0,ns,496
fang_oost vs carr_madan,carr madan,256,,,33952076.0,ns,512
fang_oost vs carr_madan,carr madan,256,,,33451075.0,ns,528
fang_oost vs carr_madan,carr madan,256,,,35533379.0,ns,544
fang_oost vs carr_madan,carr madan,256,,,41187192.0,ns,560
fang_oost vs carr_madan,carr madan,256,,,37095583.0,ns,576
fang_oost vs carr_madan,carr madan,256,,,38738087.0,ns,592
fang_oost vs carr_madan,carr madan,256,,,39816689.0,ns,608
fang_oost vs carr_madan,carr madan,256,,,42377895.0,ns,624
fang_oost vs carr_madan,carr madan,256,,,44124398.0,ns,640
fang_oost vs carr_madan,carr madan,256,,,43912999.0,ns,656
fang_oost vs carr_madan,carr madan,256,,,44406599.0,ns,672
fang_oost vs carr_madan,carr madan,256,,,44637000.0,ns,688
fang_oost vs carr_madan,carr madan,256,,,45598502.0,ns,704
fang_oost vs carr_madan,carr madan,256,,,46004602.0,ns,720
fang_oost vs carr_madan,carr madan,256,,,46848005.0,ns,736
fang_oost vs carr_madan,carr madan,256,,,47729807.0,ns,752
fang_oost vs carr_madan,carr madan,256,,,52167216.0,ns,768
fang_oost vs carr_madan,carr madan,256,,,67704452.0,ns,784
fang_oost vs carr_madan,carr madan,256,,,54061921.0,ns,800
fang_oost vs carr_madan,carr madan,256,,,69670955.0,ns,816
fang_oost vs carr_madan,carr madan,256,,,65933647.0,ns,832
fang_oost vs carr_madan,carr madan,256,,,66044448.0,ns,848
fang_oost vs carr_madan,carr madan,256,,,61406837.0,ns,864
fang_oost vs carr_madan,carr madan,256,,,58157830.0,ns,880
fang_oost vs carr_madan,carr madan,256,,,61040536.0,ns,896
fang_oost vs carr_madan,carr madan,256,,,59902134.0,ns,912
fang_oost vs carr_madan,carr madan,256,,,67849952.0,ns,928
fang_oost vs carr_madan,carr madan,256,,,63906442.0,ns,944
fang_oost vs carr_madan,carr madan,256,,,67618951.0,ns,960
fang_oost vs carr_madan,carr madan,256,,,70825258.0,ns,976
fang_oost vs carr_madan,carr madan,256,,,65101746.0,ns,992
fang_oost vs carr_madan,carr madan,256,,,68649653.0,ns,1008
fang_oost vs carr_madan,carr madan,256,,,69163255.0,ns,1024
fang_oost vs carr_madan,carr madan,256,,,71526259.0,ns,1040
