group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fang_oost vs carr_madan,fang oost,256,,,1288503.0,ns,6
fang_oost vs carr_madan,fang oost,256,,,2313705.0,ns,12
fang_oost vs carr_madan,fang oost,256,,,4512309.0,ns,18
fang_oost vs carr_madan,fang oost,256,,,4596610.0,ns,24
fang_oost vs carr_madan,fang oost,256,,,5405011.0,ns,30
fang_oost vs carr_madan,fang oost,256,,,7085115.0,ns,36
fang_oost vs carr_madan,fang oost,256,,,7563516.0,ns,42
fang_oost vs carr_madan,fang oost,256,,,8762319.0,ns,48
fang_oost vs carr_madan,fang oost,256,,,13174028.0,ns,54
fang_oost vs carr_madan,fang oost,256,,,11966925.0,ns,60
fang_oost vs carr_madan,fang oost,256,,,12265326.0,ns,66
fang_oost vs carr_madan,fang oost,256,,,13390328.0,ns,72
fang_oost vs carr_madan,fang oost,256,,,13959830.0,ns,78
fang_oost vs carr_madan,fang oost,256,,,14955231.0,ns,84
fang_oost vs carr_madan,fang oost,256,,,17187836.0,ns,90
fang_oost vs carr_madan,fang oost,256,,,17244137.0,ns,96
fang_oost vs carr_madan,fang oost,256,,,22846148.0,ns,102
fang_oost vs carr_madan,fang oost,256,,,19801542.0,ns,108
fang_oost vs carr_madan,fang oost,256,,,20656443.0,ns,114
fang_oost vs carr_madan,fang oost,256,,,21808446.0,ns,120
fang_oost vs carr_madan,fang oost,256,,,22665048.0,ns,126
fang_oost vs carr_madan,fang oost,256,,,24551452.0,ns,132
fang_oost vs carr_madan,fang oost,256,,,24993653.0,ns,138
fang_oost vs carr_madan,fang oost,256,,,26393955.0,ns,144
fang_oost vs carr_madan,fang oost,256,,,27330558.0,ns,150
fang_oost vs carr_madan,fang oost,256,,,34621373.0,ns,156
fang_oost vs carr_madan,fang oost,256,,,38442681.0,ns,162
fang_oost vs carr_madan,fang oost,256,,,37089978.0,ns,168
fang_oost vs carr_madan,fang oost,256,,,38814082.0,ns,174
fang_oost vs carr_madan,fang oost,256,,,37263679.0,ns,180
fang_oost vs carr_madan,fang oost,256,,,37317078.0,ns,186
fang_oost vs carr_madan,fang oost,256,,,37573480.0,ns,192
fang_oost vs carr_madan,fang oost,256,,,38437281.0,ns,198
fang_oost vs carr_madan,fang oost,256,,,38124180.0,ns,204
fang_oost vs carr_madan,fang oost,256,,,41777388.0,ns,210
fang_oost vs carr_madan,fang oost,256,,,40929886.0,ns,216
fang_oost vs carr_madan,fang oost,256,,,43708193.0,ns,222
fang_oost vs carr_madan,fang oost,256,,,42843590.0,ns,228
fang_oost vs carr_madan,fang oost,256,,,43535492.0,ns,234
fang_oost vs carr_madan,fang oost,256,,,44970394.0,ns,240
fang_oost vs carr_madan,fang oost,256,,,46662599.0,ns,246
fang_oost vs carr_madan,fang oost,256,,,49281304.0,ns,252
